"Police.Service","Period","Total.Cases","Firearm.Injuries","Firearm.Deaths","Custody.Injuries","Custody.Deaths","Vehicle.Injuries","Vehicle.Deaths","Sexual.Assault.Complaints","Other","Year","muniName","Population.2006","Population.2011","Pop.density"
"Amherstburg Police Service","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Amherstburg","21,748","21,556","116.1"
"Amherstburg Police Service","2012-2013",1,NA,NA,1,NA,NA,NA,NA,NA,2013,"Amherstburg","21,748","21,556","116.1"
"Amherstburg Police Service","2011-2012",2,NA,NA,1,NA,1,NA,NA,NA,2012,"Amherstburg","21,748","21,556","116.1"
"Amherstburg Police Service","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Amherstburg","21,748","21,556","116.1"
"Amherstburg Police Service","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Amherstburg","21,748","21,556","116.1"
"Amherstburg Police Service","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Amherstburg","21,748","21,556","116.1"
"Amherstburg Police Service","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Amherstburg","21,748","21,556","116.1"
"Amherstburg Police Service","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Amherstburg","21,748","21,556","116.1"
"Amherstburg Police Service","2005-2006",1,NA,NA,NA,1,NA,NA,NA,NA,2006,"Amherstburg","21,748","21,556","116.1"
"Aylmer Police Service","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Aylmer","7,069","7,151","1,148.9"
"Aylmer Police Service","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Aylmer","7,069","7,151","1,148.9"
"Aylmer Police Service","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Aylmer","7,069","7,151","1,148.9"
"Aylmer Police Service","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Aylmer","7,069","7,151","1,148.9"
"Aylmer Police Service","2009-2010",1,NA,NA,1,NA,NA,NA,NA,NA,2010,"Aylmer","7,069","7,151","1,148.9"
"Aylmer Police Service","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Aylmer","7,069","7,151","1,148.9"
"Aylmer Police Service","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Aylmer","7,069","7,151","1,148.9"
"Aylmer Police Service","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Aylmer","7,069","7,151","1,148.9"
"Aylmer Police Service","2005-2006",1,NA,NA,1,NA,NA,NA,NA,NA,2006,"Aylmer","7,069","7,151","1,148.9"
"Barrie Police Service","2013-2014",3,NA,NA,3,NA,NA,NA,NA,NA,2014,"Barrie","128,430","136,063","1,758.1"
"Barrie Police Service","2012-2013",5,NA,NA,3,1,1,NA,NA,NA,2013,"Barrie","128,430","136,063","1,758.1"
"Barrie Police Service","2011-2012",3,NA,NA,2,NA,NA,NA,1,NA,2012,"Barrie","128,430","136,063","1,758.1"
"Barrie Police Service","2010-2011",6,NA,NA,4,1,NA,NA,1,NA,2011,"Barrie","128,430","136,063","1,758.1"
"Barrie Police Service","2009-2010",5,NA,1,3,NA,NA,1,NA,NA,2010,"Barrie","128,430","136,063","1,758.1"
"Barrie Police Service","2008-2009",6,NA,NA,4,NA,NA,1,1,NA,2009,"Barrie","128,430","136,063","1,758.1"
"Barrie Police Service","2007-2008",4,NA,NA,4,NA,NA,NA,NA,NA,2008,"Barrie","128,430","136,063","1,758.1"
"Barrie Police Service","2006-2007",2,NA,NA,2,NA,NA,NA,NA,NA,2007,"Barrie","128,430","136,063","1,758.1"
"Barrie Police Service","2005-2006",5,NA,NA,2,NA,3,NA,NA,NA,2006,"Barrie","128,430","136,063","1,758.1"
"Belleville Police Service","2013-2014",1,NA,NA,NA,NA,NA,NA,NA,1,2014,"Belleville","48,821","49,454","200"
"Belleville Police Service","2012-2013",2,NA,NA,1,NA,1,NA,NA,NA,2013,"Belleville","48,821","49,454","200"
"Belleville Police Service","2011-2012",1,NA,NA,1,NA,NA,NA,NA,NA,2012,"Belleville","48,821","49,454","200"
"Belleville Police Service","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Belleville","48,821","49,454","200"
"Belleville Police Service","2009-2010",1,NA,NA,1,NA,NA,NA,NA,NA,2010,"Belleville","48,821","49,454","200"
"Belleville Police Service","2008-2009",3,NA,NA,2,NA,1,NA,NA,NA,2009,"Belleville","48,821","49,454","200"
"Belleville Police Service","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Belleville","48,821","49,454","200"
"Belleville Police Service","2006-2007",2,NA,NA,NA,NA,1,1,NA,NA,2007,"Belleville","48,821","49,454","200"
"Belleville Police Service","2005-2006",3,1,NA,2,NA,NA,NA,NA,NA,2006,"Belleville","48,821","49,454","200"
"Brantford Police Service","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Brantford","90,192","93,650","1,292.3"
"Brantford Police Service","2012-2013",2,NA,NA,1,NA,1,NA,NA,NA,2013,"Brantford","90,192","93,650","1,292.3"
"Brantford Police Service","2011-2012",10,NA,NA,9,NA,1,NA,NA,NA,2012,"Brantford","90,192","93,650","1,292.3"
"Brantford Police Service","2010-2011",6,NA,1,3,NA,NA,NA,2,NA,2011,"Brantford","90,192","93,650","1,292.3"
"Brantford Police Service","2009-2010",5,NA,NA,3,NA,1,NA,1,NA,2010,"Brantford","90,192","93,650","1,292.3"
"Brantford Police Service","2008-2009",4,NA,NA,1,1,NA,NA,2,NA,2009,"Brantford","90,192","93,650","1,292.3"
"Brantford Police Service","2007-2008",3,1,NA,2,NA,NA,NA,NA,NA,2008,"Brantford","90,192","93,650","1,292.3"
"Brantford Police Service","2006-2007",3,NA,NA,3,NA,NA,NA,NA,NA,2007,"Brantford","90,192","93,650","1,292.3"
"Brantford Police Service","2005-2006",5,NA,1,3,NA,1,NA,NA,NA,2006,"Brantford","90,192","93,650","1,292.3"
"Brockville Police Service","2013-2014",1,NA,NA,NA,NA,1,NA,NA,NA,2014,"Brockville","21,957","21,870","1,046.2"
"Brockville Police Service","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Brockville","21,957","21,870","1,046.2"
"Brockville Police Service","2011-2012",1,NA,NA,1,NA,NA,NA,NA,NA,2012,"Brockville","21,957","21,870","1,046.2"
"Brockville Police Service","2010-2011",1,NA,NA,1,NA,NA,NA,NA,NA,2011,"Brockville","21,957","21,870","1,046.2"
"Brockville Police Service","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Brockville","21,957","21,870","1,046.2"
"Brockville Police Service","2008-2009",1,NA,NA,1,NA,NA,NA,NA,NA,2009,"Brockville","21,957","21,870","1,046.2"
"Brockville Police Service","2007-2008",1,1,NA,NA,NA,NA,NA,NA,NA,2008,"Brockville","21,957","21,870","1,046.2"
"Brockville Police Service","2006-2007",1,NA,NA,1,NA,NA,NA,NA,NA,2007,"Brockville","21,957","21,870","1,046.2"
"Brockville Police Service","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Brockville","21,957","21,870","1,046.2"
