Police Service,Period,Total Cases,Firearm Injuries,Firearm Deaths,Custody Injuries,Custody Deaths,Vehicle Injuries,Vehicle Deaths,Sexual Assault Complaints,Other
Amherstburg Police Service,2013-2014,0,,,,,,,,
,2012-2013,1,,,1,,,,,
,2011-2012,2,,,1,,1,,,
,2010-2011,0,,,,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,1,,,,1,,,,
Aylmer Police Service,2013-2014,0,,,,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,1,,,1,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,1,,,1,,,,,
Barrie Police Service,2013-2014,3,,,3,,,,,
,2012-2013,5,,,3,1,1,,,
,2011-2012,3,,,2,,,,1,
,2010-2011,6,,,4,1,,,1,
,2009-2010,5,,1,3,,,1,,
,2008-2009,6,,,4,,,1,1,
,2007-2008,4,,,4,,,,,
,2006-2007,2,,,2,,,,,
,2005-2006,5,,,2,,3,,,
Belleville Police Service,2013-2014,1,,,,,,,,1
,2012-2013,2,,,1,,1,,,
,2011-2012,1,,,1,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,1,,,1,,,,,
,2008-2009,3,,,2,,1,,,
,2007-2008,0,,,,,,,,
,2006-2007,2,,,,,1,1,,
,2005-2006,3,1,,2,,,,,
Brantford Police Service,2013-2014,0,,,,,,,,
,2012-2013,2,,,1,,1,,,
,2011-2012,10,,,9,,1,,,
,2010-2011,6,,1,3,,,,2,
,2009-2010,5,,,3,,1,,1,
,2008-2009,4,,,1,1,,,2,
,2007-2008,3,1,,2,,,,,
,2006-2007,3,,,3,,,,,
,2005-2006,5,,1,3,,1,,,
Brockville Police Service,2013-2014,1,,,,,1,,,
,2012-2013,0,,,,,,,,
,2011-2012,1,,,1,,,,,
,2010-2011,1,,,1,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,1,,,1,,,,,
,2007-2008,1,1,,,,,,,
,2006-2007,1,,,1,,,,,
,2005-2006,0,,,,,,,,
Chatham-Kent Police Service,2013-2014,4,,,3,1,,,,
,2012-2013,5,,,3,,,,2,
,2011-2012,2,,,1,,1,,,
,2010-2011,4,,,2,1,,,1,
,2009-2010,1,,,,,,1,,
,2008-2009,1,,,1,,,,,
,2007-2008,5,,,,1,2,,2,
,2006-2007,2,,,1,,,,1,
,2005-2006,3,,,1,,,1,1,
Cobourg Police Service,2013-2014,1,,,1,,,,,
,2012-2013,1,,,,,1,,,
,2011-2012,1,,,1,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,1,,,,,1,,,
,2005-2006,1,,,1,,,,,
Cornwall Police Service,2013-2014,3,,,2,,,,1,
,2012-2013,3,,,,1,,,2,
,2011-2012,4,,,1,,1,,2,
,2010-2011,4,,,3,,,,1,
,2009-2010,3,,,2,,,,1,
,2008-2009,1,,,,,,,1,
,2007-2008,1,,,1,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,0,,,,,,,,
Deep River Police Service,2013-2014,0,,,,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,0,,,,,,,,
Dryden Police Service,2013-2014,0,,,,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,1,,,,1,,,,
,2009-2010,0,,,,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,0,,,,,,,,
Durham Regional Police Service,2013-2014,6,,1,3,,2,,,
,2012-2013,6,3,,3,,,,,
,2011-2012,11,,,3,1,2,,5,
,2010-2011,7,,,4,1,,1,1,
,2009-2010,8,,,4,,3,1,,
,2008-2009,11,,1,7,1,1,,1,
,2007-2008,7,,,3,2,,,1,1
,2006-2007,10,1,,6,,2,,1,
,2005-2006,9,,1,3,2,2,,1,
Espanola Police Service,2013-2014,0,,,,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,0,,,,,,,,
Essex Police Service,2013-2014,0,,,,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,1,,,1,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,0,,,,,,,,
Gananoque Police Service,2013-2014,1,,,,,1,,,
,2012-2013,1,,,1,,,,,
,2011-2012,1,,,1,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,1,,,1,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,0,,,,,,,,
Greater Sudbury Police Service,2013-2014,3,,,2,,1,,,
,2012-2013,6,1,,4,,,,1,
,2011-2012,2,,,1,,,,1,
,2010-2011,3,,1,1,,1,,,
,2009-2010,3,,,2,,1,,,
,2008-2009,3,,,3,,,,,
,2007-2008,6,,,3,2,,,1,
,2006-2007,7,,,3,,,1,3,
,2005-2006,2,1,,,,,,1,
Guelph Police Service,2013-2014,9,,,6,,2,,1,
,2012-2013,3,,,1,1,1,,,
,2011-2012,2,,,1,1,,,,
,2010-2011,1,,,,,1,,,
,2009-2010,1,,,1,,,,,
,2008-2009,1,,,,,,,1,
,2007-2008,1,,,1,,,,,
,2006-2007,2,,,2,,,,,
,2005-2006,4,,,2,1,,,1,
Halton Regional Police Service,2013-2014,10,,1,7,,1,,1,
,2012-2013,4,,,2,1,,,1,
,2011-2012,8,1,1,4,,1,,1,
,2010-2011,5,,1,2,,1,,1,
,2009-2010,7,1,,3,2,1,,,
,2008-2009,22,2,,18,1,,1,,
,2007-2008,3,,1,2,,,,,
,2006-2007,8,1,,6,,,1,,
,2005-2006,6,1,,3,,,,2,
Hamilton Police Service,2013-2014,12,,1,5,2,3,,1,
,2012-2013,15,,,10,2,1,1,1,
,2011-2012,5,,1,3,,,,1,
,2010-2011,30,1,1,15,5,5,,3,
,2009-2010,14,1,,9,1,2,,1,
,2008-2009,1,,,,,1,,,
,2007-2008,9,,1,4,,2,1,1,
,2006-2007,9,1,,2,4,2,,,
,2005-2006,15,,,7,1,4,1,2,
Hanover Police Service,2013-2014,1,,,1,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,1,1,,,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,1,,,,,1,,,
,2005-2006,2,,,2,,,,,
Kawartha Lakes Police Service (City of),2013-2014,1,,,1,,,,,
,2012-2013,2,,,,,1,,1,
,2011-2012,1,,1,,,,,,
,2010-2011,1,,,1,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,3,,,2,1,,,,
,2007-2008,1,,,1,,,,,
,2006-2007,2,1,,,,,1,,
,2005-2006,0,,,,,,,,
Kenora Police Service,2013-2014,0,,,,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,1,,,1,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,1,,,,,1,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,0,,,,,,,,
Kingston Police Service,2013-2014,2,,,2,,,,,
,2012-2013,5,,,3,,1,,1,
,2011-2012,4,,,1,,1,,2,
,2010-2011,4,,,1,1,,,1,1
,2009-2010,1,,,,,1,,,
,2008-2009,1,,,,,,,,1
,2007-2008,1,,,,,1,,,
,2006-2007,1,,,1,,,,,
,2005-2006,0,,,,,,,,
LaSalle Police Service,2013-2014,0,,,,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,1,,,1,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,0,,,,,,,,
Leamington Police Service,2013-2014,0,,,,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,3,1,,1,1,,,,
,2007-2008,1,,,1,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,0,,,,,,,,
London Police Service,2013-2014,12,,,7,1,2,,2,
,2012-2013,22,,,15,1,2,,4,
,2011-2012,19,,,14,,,,5,
,2010-2011,12,,,8,2,,,2,
,2009-2010,14,,,10,,2,,1,1
,2008-2009,10,1,,7,2,,,,
,2007-2008,4,,,4,,,,,
,2006-2007,14,,,10,2,2,,,
,2005-2006,10,,,6,2,,2,,
Michipicoten Township Police Service,2013-2014,0,,,,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,1,,,,1,,,,
,2005-2006,0,,,,,,,,
Midland Police Service,2013-2014,1,,,,,,,1,
,2012-2013,2,,,2,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,1,,,,,1,,,
,2009-2010,0,,,,,,,,
,2008-2009,1,,1,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,1,,,1,,,,,
,2005-2006,1,,,1,,,,,
Niagara Regional Police Service,2013-2014,16,,,14,1,1,,,
,2012-2013,15,,,10,2,3,,,
,2011-2012,9,,,7,,2,,,
,2010-2011,9,,,7,,1,,1,
,2009-2010,14,,,9,1,3,,,1
,2008-2009,20,,,15,1,2,1,1,
,2007-2008,15,,,8,1,3,1,2,
,2006-2007,13,,,5,,1,,7,
,2005-2006,5,,,2,2,1,,,
North Bay Police Service,2013-2014,1,,,1,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,1,,,,,,,1,
,2010-2011,1,,,,1,,,,
,2009-2010,2,,,1,,1,,,
,2008-2009,0,,,,,,,,
,2007-2008,4,,,3,,,,1,
,2006-2007,2,,,1,,,,1,
,2005-2006,0,,,,,,,,
OPP Grenville County Detachment,2013-2014,0,,,,,,,,
,2012-2013,1,,1,,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,1,,,,1,,,,
,2009-2010,0,,,,,,,,
,2008-2009,1,,,,1,,,,
,2007-2008,2,,,,,,,2,
,2006-2007,0,,,,,,,,
,2005-2006,1,,,1,,,,,
OPP Alexandria Detachment,2013-2014,0,,,,,,,,
,2012-2013,1,,,,,,,1,
,2011-2012,0,,,,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,0,,,,,,,,
OPP Almaguin Highlands Detachment,2013-2014,0,,,,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,1,,,,1,,,,
OPP Apsley Detachment,2013-2014,0,,,,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,0,,,,,,,,
OPP Armstrong Detachment,2013-2014,0,,,,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,0,,,,,,,,
OPP Arnprior Detachment,2013-2014,0,,,,,,,,
,2012-2013,1,,,,,1,,,
,2011-2012,0,,,,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,0,,,,,,,,
OPP Atikokan Detachment,2013-2014,0,,,,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,0,,,,,,,,
OPP Aurora Detachment,2013-2014,0,,,,,,,,
,2012-2013,1,,,,,1,,,
,2011-2012,0,,,,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,1,,,,,,1,,
,2008-2009,1,,,1,,,,,
,2007-2008,0,,,,,,,,
,2006-2007,0,,,,,,,,
,2005-2006,0,,,,,,,,
OPP Bala Detachment,2013-2014,0,,,,,,,,
,2012-2013,0,,,,,,,,
,2011-2012,0,,,,,,,,
,2010-2011,0,,,,,,,,
,2009-2010,0,,,,,,,,
,2008-2009,0,,,,,,,,
,2007-2008,0,,,,,,,,
